stage,scope,marker,count
source_text_before_cleaning,text,numeric_points,11180
source_text_before_cleaning,text,numeric_score_phrase,2
source_text_before_cleaning,text,sgp_score_field,11180
source_text_before_cleaning,text,wf_score_field,672
source_text_before_cleaning,text,score_label_numeric,62
source_text_before_cleaning,text,numeric_score_label,11180
source_text_before_cleaning,text,personal_score_action,82
source_text_before_cleaning,text,personal_percent_score,47
source_text_before_cleaning,text,personal_score_sequence,18
source_text_before_cleaning,text,numeric_in_tasting_book,80
source_text_before_cleaning,text,score_threshold,29
analytical_text_after_cleaning,review_text,numeric_points,0
analytical_text_after_cleaning,review_text,numeric_score_phrase,0
analytical_text_after_cleaning,review_text,sgp_score_field,0
analytical_text_after_cleaning,review_text,wf_score_field,0
analytical_text_after_cleaning,review_text,score_label_numeric,0
analytical_text_after_cleaning,review_text,numeric_score_label,0
analytical_text_after_cleaning,review_text,personal_score_action,0
analytical_text_after_cleaning,review_text,personal_percent_score,0
analytical_text_after_cleaning,review_text,personal_score_sequence,0
analytical_text_after_cleaning,review_text,numeric_in_tasting_book,0
analytical_text_after_cleaning,review_text,score_threshold,0
analytical_text_after_cleaning,nose,numeric_points,0
analytical_text_after_cleaning,nose,numeric_score_phrase,0
analytical_text_after_cleaning,nose,sgp_score_field,0
analytical_text_after_cleaning,nose,wf_score_field,0
analytical_text_after_cleaning,nose,score_label_numeric,0
analytical_text_after_cleaning,nose,numeric_score_label,0
analytical_text_after_cleaning,nose,personal_score_action,0
analytical_text_after_cleaning,nose,personal_percent_score,0
analytical_text_after_cleaning,nose,personal_score_sequence,0
analytical_text_after_cleaning,nose,numeric_in_tasting_book,0
analytical_text_after_cleaning,nose,score_threshold,0
analytical_text_after_cleaning,mouth,numeric_points,0
analytical_text_after_cleaning,mouth,numeric_score_phrase,0
analytical_text_after_cleaning,mouth,sgp_score_field,0
analytical_text_after_cleaning,mouth,wf_score_field,0
analytical_text_after_cleaning,mouth,score_label_numeric,0
analytical_text_after_cleaning,mouth,numeric_score_label,0
analytical_text_after_cleaning,mouth,personal_score_action,0
analytical_text_after_cleaning,mouth,personal_percent_score,0
analytical_text_after_cleaning,mouth,personal_score_sequence,0
analytical_text_after_cleaning,mouth,numeric_in_tasting_book,0
analytical_text_after_cleaning,mouth,score_threshold,0
analytical_text_after_cleaning,finish,numeric_points,0
analytical_text_after_cleaning,finish,numeric_score_phrase,0
analytical_text_after_cleaning,finish,sgp_score_field,0
analytical_text_after_cleaning,finish,wf_score_field,0
analytical_text_after_cleaning,finish,score_label_numeric,0
analytical_text_after_cleaning,finish,numeric_score_label,0
analytical_text_after_cleaning,finish,personal_score_action,0
analytical_text_after_cleaning,finish,personal_percent_score,0
analytical_text_after_cleaning,finish,personal_score_sequence,0
analytical_text_after_cleaning,finish,numeric_in_tasting_book,0
analytical_text_after_cleaning,finish,score_threshold,0
analytical_text_after_cleaning,comments,numeric_points,0
analytical_text_after_cleaning,comments,numeric_score_phrase,0
analytical_text_after_cleaning,comments,sgp_score_field,0
analytical_text_after_cleaning,comments,wf_score_field,0
analytical_text_after_cleaning,comments,score_label_numeric,0
analytical_text_after_cleaning,comments,numeric_score_label,0
analytical_text_after_cleaning,comments,personal_score_action,0
analytical_text_after_cleaning,comments,personal_percent_score,0
analytical_text_after_cleaning,comments,personal_score_sequence,0
analytical_text_after_cleaning,comments,numeric_in_tasting_book,0
analytical_text_after_cleaning,comments,score_threshold,0
analytical_text_after_cleaning,nmf,numeric_points,0
analytical_text_after_cleaning,nmf,numeric_score_phrase,0
analytical_text_after_cleaning,nmf,sgp_score_field,0
analytical_text_after_cleaning,nmf,wf_score_field,0
analytical_text_after_cleaning,nmf,score_label_numeric,0
analytical_text_after_cleaning,nmf,numeric_score_label,0
analytical_text_after_cleaning,nmf,personal_score_action,0
analytical_text_after_cleaning,nmf,personal_percent_score,0
analytical_text_after_cleaning,nmf,personal_score_sequence,0
analytical_text_after_cleaning,nmf,numeric_in_tasting_book,0
analytical_text_after_cleaning,nmf,score_threshold,0
