category,dimension,frequency_weighted_mean_projection,n_terms,analysis_role
fruit,Quality_Defect,0.06095209509673107,25,frequency-weighted sensitivity
fruit,Complexity_Simplicity,-0.04361934020538553,25,frequency-weighted sensitivity
fruit,Balance_Imbalance,0.05715674742349907,25,frequency-weighted sensitivity
fruit,Natural_Artificial,-0.048045566511632914,25,frequency-weighted sensitivity
floral,Quality_Defect,0.05415317490487966,9,frequency-weighted sensitivity
floral,Complexity_Simplicity,0.07573332275527907,9,frequency-weighted sensitivity
floral,Balance_Imbalance,0.1284512461868893,9,frequency-weighted sensitivity
floral,Natural_Artificial,0.0035037756777675446,9,frequency-weighted sensitivity
spice,Quality_Defect,0.08797341562567987,8,frequency-weighted sensitivity
spice,Complexity_Simplicity,-0.02715165173160644,8,frequency-weighted sensitivity
spice,Balance_Imbalance,-0.04075312726451809,8,frequency-weighted sensitivity
spice,Natural_Artificial,-0.09056114295937366,8,frequency-weighted sensitivity
peat,Quality_Defect,0.09707292678026921,38,frequency-weighted sensitivity
peat,Complexity_Simplicity,-0.03466234575446823,38,frequency-weighted sensitivity
peat,Balance_Imbalance,0.08413418087693011,38,frequency-weighted sensitivity
peat,Natural_Artificial,-0.11228610553009497,38,frequency-weighted sensitivity
sherry,Quality_Defect,0.07225451067301622,46,frequency-weighted sensitivity
sherry,Complexity_Simplicity,0.08428481099932042,46,frequency-weighted sensitivity
sherry,Balance_Imbalance,0.022920304929474864,46,frequency-weighted sensitivity
sherry,Natural_Artificial,0.0014909508333235115,46,frequency-weighted sensitivity
oak,Quality_Defect,-0.03014870626106077,14,frequency-weighted sensitivity
oak,Complexity_Simplicity,0.025874005083045465,14,frequency-weighted sensitivity
oak,Balance_Imbalance,-0.06825539232221914,14,frequency-weighted sensitivity
oak,Natural_Artificial,-0.1296553954884285,14,frequency-weighted sensitivity
texture,Quality_Defect,0.06078051917954297,14,frequency-weighted sensitivity
texture,Complexity_Simplicity,0.023097469472959608,14,frequency-weighted sensitivity
texture,Balance_Imbalance,0.13154716638362968,14,frequency-weighted sensitivity
texture,Natural_Artificial,0.0034253316573079106,13,frequency-weighted sensitivity
mineral,Quality_Defect,0.08729845997932899,20,frequency-weighted sensitivity
mineral,Complexity_Simplicity,-0.10770059865962262,20,frequency-weighted sensitivity
mineral,Balance_Imbalance,0.045638413220862956,20,frequency-weighted sensitivity
mineral,Natural_Artificial,-0.09105208015337149,20,frequency-weighted sensitivity
flaw,Quality_Defect,-0.1820364302970725,17,frequency-weighted sensitivity
flaw,Complexity_Simplicity,-0.1570026729203812,17,frequency-weighted sensitivity
flaw,Balance_Imbalance,-0.25356291146649157,17,frequency-weighted sensitivity
flaw,Natural_Artificial,-0.37534823874643297,13,frequency-weighted sensitivity
structure,Quality_Defect,0.0690367364573663,28,frequency-weighted sensitivity
structure,Complexity_Simplicity,-0.018264511770131806,20,frequency-weighted sensitivity
structure,Balance_Imbalance,0.19531681276906676,20,frequency-weighted sensitivity
structure,Natural_Artificial,0.03528450420144741,28,frequency-weighted sensitivity
eval,Quality_Defect,0.15257215131295646,9,frequency-weighted sensitivity
eval,Complexity_Simplicity,-0.08683536409578213,20,frequency-weighted sensitivity
eval,Balance_Imbalance,0.044953507585115286,20,frequency-weighted sensitivity
eval,Natural_Artificial,0.041572275076643406,20,frequency-weighted sensitivity
