vector_size,window,seed,Quality_Defect_spread,Complexity_Simplicity_spread,Balance_Imbalance_spread,Natural_Artificial_spread,largest_spread_dimension,flaw_natural_artificial_projection,natural_artificial_dominant,flaw_artificial_direction
100,5,1,0.4219361413270235,0.26037694885109375,0.4691205212462912,0.4027344785334068,Balance_Imbalance,-0.3624243676089324,False,True
100,5,2,0.41492894519534373,0.26511864045184425,0.4546881017001236,0.4269323907649288,Balance_Imbalance,-0.36678726913837284,False,True
100,5,3,0.41635659237215716,0.2698018070390148,0.4497782536344055,0.40315564723792846,Balance_Imbalance,-0.37582758986032927,False,True
100,5,4,0.42028660890859326,0.26458693108539666,0.46245164815336465,0.4272847641366892,Balance_Imbalance,-0.3752493238649689,False,True
100,5,5,0.40529759970320134,0.2645199030951225,0.4636056619531968,0.4072443073382601,Balance_Imbalance,-0.3750021195737645,False,True
100,5,6,0.41183819277272893,0.2796857928784162,0.4509546113474404,0.42739476863867965,Balance_Imbalance,-0.3725197816697451,False,True
100,5,7,0.4325896397452144,0.2590526534576164,0.47311781129854563,0.427447204829122,Balance_Imbalance,-0.38207224297981995,False,True
100,5,8,0.40491214548724586,0.2628237687734901,0.4710340400116847,0.4207833216776355,Balance_Imbalance,-0.3640231071756436,False,True
100,5,9,0.4067922289805864,0.2726654912287946,0.44652101544882444,0.43563268427522134,Balance_Imbalance,-0.3840863968317325,False,True
100,5,10,0.3839394772315726,0.2573173826475159,0.46846413096851286,0.4311189001927582,Balance_Imbalance,-0.39020363348894394,False,True
150,6,1,0.36007700093528805,0.23802634170644132,0.41466427092604774,0.37029468607909694,Balance_Imbalance,-0.3626533643557475,False,True
150,6,2,0.3633214954189421,0.24152872865423075,0.4109781103869489,0.3646209010997644,Balance_Imbalance,-0.3551994530627361,False,True
150,6,3,0.35528700314218703,0.2517332646667081,0.4006390900077189,0.3741269250686925,Balance_Imbalance,-0.3563209373790484,False,True
150,6,4,0.3295571511501775,0.2482985055737587,0.3976359920137945,0.3661974439522825,Balance_Imbalance,-0.3674447513543643,False,True
150,6,5,0.3512730576292752,0.21642826498163487,0.40799445219557073,0.3549862856296106,Balance_Imbalance,-0.34651517409544724,False,True
150,6,6,0.35077255131567225,0.23729011571655673,0.42575382743688195,0.37470041029871654,Balance_Imbalance,-0.3628239411001022,False,True
150,6,7,0.34971463843400963,0.2404898403370692,0.4084989319719812,0.3786506301965207,Balance_Imbalance,-0.3650062359296359,False,True
150,6,8,0.36297269317692793,0.2483525703831582,0.4142424501478672,0.35930359474240015,Balance_Imbalance,-0.3498042575441874,False,True
150,6,9,0.35050755515207654,0.2528014073111847,0.4312133929637425,0.3702165075147954,Balance_Imbalance,-0.35858495361529863,False,True
150,6,10,0.34328339801602115,0.2514175269157266,0.3995708263533957,0.37409954721475625,Balance_Imbalance,-0.35378967684048873,False,True
200,10,1,0.3011836466011195,0.20454796808807518,0.3607565325630062,0.3462920996736592,Balance_Imbalance,-0.3242354249724975,False,True
200,10,2,0.3092289877678055,0.20589960980779298,0.3528476462863824,0.35850931604822667,Natural_Artificial,-0.3430027471712002,True,True
200,10,3,0.295314528248912,0.22388109352037894,0.34844019248643343,0.33360079295830464,Balance_Imbalance,-0.3291087760948218,False,True
200,10,4,0.2908800760028409,0.21970728234692521,0.3529760737191229,0.35159424364996644,Balance_Imbalance,-0.3251378828516373,False,True
200,10,5,0.3014501845098886,0.23258813523122912,0.35402803258860815,0.3399776665404296,Balance_Imbalance,-0.3265519147882095,False,True
200,10,6,0.3067084598519346,0.2311544218313655,0.36137183946283424,0.3298770866070229,Balance_Imbalance,-0.32062351589019483,False,True
200,10,7,0.3060176220594668,0.22620177029531596,0.35755323728217797,0.3299221459112907,Balance_Imbalance,-0.32195492547291976,False,True
200,10,8,0.318723162161369,0.2122178403904138,0.3521688774447231,0.3536664164947489,Natural_Artificial,-0.3326389858355889,True,True
200,10,9,0.2873729311182389,0.23159930311612104,0.3678309011108735,0.3426864880132668,Balance_Imbalance,-0.3218619462389212,False,True
200,10,10,0.29360917887461735,0.2216856929479666,0.36579568484688507,0.35771507404458064,Balance_Imbalance,-0.33227123234134454,False,True
