Category,Peated_mean,Other_mean,Diff,Cohen_d,t_p,sig,Group,Sherried_mean,Bourbon_mean,HighScore_mean,LowScore_mean
fruit,15.05,19.42,-4.37,-0.318,0.0,***,Peated,,,,
floral,1.15,1.96,-0.81,-0.198,0.0,***,Peated,,,,
spice,3.44,3.41,0.03,0.006,0.7767,,Peated,,,,
peat,35.93,3.47,32.47,2.584,0.0,***,Peated,,,,
sherry,8.08,13.31,-5.23,-0.367,0.0,***,Peated,,,,
oak,4.57,7.08,-2.51,-0.293,0.0,***,Peated,,,,
texture,3.09,2.79,0.3,0.06,0.0069,**,Peated,,,,
mineral,8.42,8.05,0.37,0.038,0.0777,,Peated,,,,
flaw,1.74,1.75,-0.01,-0.002,0.9116,,Peated,,,,
structure,3.42,2.92,0.5,0.099,0.0,***,Peated,,,,
eval,10.26,10.37,-0.11,-0.012,0.5939,,Peated,,,,
fruit,,19.62,-5.17,-0.374,0.0,***,Sherried,14.45,,,
floral,,1.89,-0.54,-0.131,0.0,***,Sherried,1.36,,,
spice,,3.26,0.63,0.113,0.0,***,Sherried,3.89,,,
peat,,12.89,-5.26,-0.342,0.0,***,Sherried,7.63,,,
sherry,,4.66,29.42,2.66,0.0,***,Sherried,34.08,,,
oak,,6.7,-1.0,-0.113,0.0,***,Sherried,5.7,,,
texture,,3.1,-0.94,-0.195,0.0,***,Sherried,2.16,,,
mineral,,8.7,-2.22,-0.235,0.0,***,Sherried,6.48,,,
flaw,,1.78,-0.12,-0.029,0.1794,,Sherried,1.66,,,
structure,,2.98,0.27,0.056,0.0102,*,Sherried,3.25,,,
eval,,10.44,-0.41,-0.045,0.0375,*,Sherried,10.04,,,
fruit,,17.96,2.84,0.182,0.0,***,Bourbon,,20.8,,
floral,,1.7,0.45,0.1,0.0006,***,Bourbon,,2.15,,
spice,,3.37,0.34,0.063,0.026,*,Bourbon,,3.72,,
peat,,11.78,-1.54,-0.091,0.0012,**,Bourbon,,10.24,,
sherry,,13.55,-12.07,-1.06,0.0,***,Bourbon,,1.48,,
oak,,4.51,15.14,1.686,0.0,***,Bourbon,,19.66,,
texture,,2.84,0.16,0.031,0.283,,Bourbon,,3.0,,
mineral,,8.27,-0.94,-0.095,0.0007,***,Bourbon,,7.32,,
flaw,,1.81,-0.47,-0.112,0.0,***,Bourbon,,1.35,,
structure,,3.04,0.0,0.001,0.9786,,Bourbon,,3.05,,
eval,,10.33,0.1,0.01,0.724,,Bourbon,,10.42,,
fruit,,19.04,-2.7,-0.192,0.0,***,HighScore,,,16.34,
floral,,1.7,0.21,0.051,0.0168,*,HighScore,,,1.92,
spice,,3.66,-0.9,-0.175,0.0,***,HighScore,,,2.76,
peat,,9.68,7.19,0.413,0.0,***,HighScore,,,16.87,
sherry,,11.93,0.27,0.017,0.4204,,HighScore,,,12.2,
oak,,7.08,-2.37,-0.28,0.0,***,HighScore,,,4.71,
texture,,2.63,0.89,0.17,0.0,***,HighScore,,,3.52,
mineral,,8.27,-0.47,-0.048,0.0228,*,HighScore,,,7.8,
flaw,,2.07,-1.2,-0.304,0.0,***,HighScore,,,0.87,
structure,,2.8,0.92,0.183,0.0,***,HighScore,,,3.72,
eval,,9.97,1.39,0.15,0.0,***,HighScore,,,11.36,
fruit,,18.54,-6.62,-0.502,0.0,***,LowScore,,,,11.92
floral,,1.78,-0.57,-0.149,0.0017,**,LowScore,,,,1.2
spice,,3.45,-0.86,-0.166,0.0014,**,LowScore,,,,2.58
peat,,11.8,-6.95,-0.515,0.0,***,LowScore,,,,4.86
sherry,,12.18,-5.51,-0.42,0.0,***,LowScore,,,,6.67
oak,,6.39,1.88,0.174,0.0044,**,LowScore,,,,8.27
texture,,2.9,-0.99,-0.22,0.0,***,LowScore,,,,1.91
mineral,,8.17,-0.8,-0.082,0.1168,,LowScore,,,,7.37
flaw,,1.52,7.1,0.864,0.0,***,LowScore,,,,8.62
structure,,3.07,-0.68,-0.14,0.008,**,LowScore,,,,2.39
eval,,10.47,-3.97,-0.487,0.0,***,LowScore,,,,6.5
