,Coefficient,SE,t,p,sig,Coef (SE)
Intercept,77.33117204786605,0.2903600964785326,266.3285106518878,0.0,***,77.331*** (0.290)
C(review_year)[T.2013],0.09706392408535233,0.24659738906578602,0.39361294315836454,0.6938743684322441,,0.097 (0.247)
C(review_year)[T.2014],0.441011844197462,0.24449271075692652,1.803783200047685,0.07129234562822624,,0.441 (0.244)
C(review_year)[T.2015],-0.4122627509674109,0.25067675711287374,-1.6445990275108706,0.10008078602960645,,-0.412 (0.251)
C(review_year)[T.2016],0.3498621635691591,0.25745635583717735,1.358918339504587,0.17420002044301913,,0.350 (0.257)
C(review_year)[T.2017],0.13392086441787854,0.23863590337033666,0.5611932761435654,0.5746770914551638,,0.134 (0.239)
C(review_year)[T.2018],0.05978612387177945,0.2353662449466543,0.2540131610007627,0.7994900856824635,,0.060 (0.235)
C(review_year)[T.2019],0.3881296596912124,0.24393682804448252,1.5911072665929555,0.11161385533517755,,0.388 (0.244)
C(review_year)[T.2020],0.5537442921803377,0.23418811672421155,2.364527713557931,0.018070151276380078,*,0.554* (0.234)
C(review_year)[T.2021],0.30604538929769487,0.23702636775745642,1.2911871037523726,0.19666563870803924,,0.306 (0.237)
C(review_year)[T.2022],0.799262210701364,0.2459087558849125,3.2502389263252827,0.0011565094071266072,**,0.799** (0.246)
C(review_year)[T.2023],0.9846440162566642,0.23439395197009152,4.20080811804523,2.6803829257019824e-05,***,0.985*** (0.234)
C(review_year)[T.2024],0.78236919626915,0.23382245480123515,3.34599684591549,0.0008225879246478333,***,0.782*** (0.234)
C(review_year)[T.2025],1.6181793306839984,0.23611097096892633,6.853469468375364,7.589204726203086e-12,***,1.618*** (0.236)
fruit_review_text_per1k,0.03909414762384021,0.0032197651593758357,12.141925168051314,1.0343773616830574e-33,***,0.039*** (0.003)
floral_review_text_per1k,0.03264707416452962,0.010175907671212769,3.208271460332415,0.0013391383230578694,**,0.033** (0.010)
spice_review_text_per1k,-0.017805770665426303,0.008027386853333702,-2.218127890277485,0.026566233880367496,*,-0.018* (0.008)
peat_review_text_per1k,0.06363955364093546,0.0026231570681384507,24.260672154907557,9.676213617966852e-127,***,0.064*** (0.003)
sherry_review_text_per1k,0.04359113809151917,0.002916055803551618,14.94866388991158,4.857879565208901e-50,***,0.044*** (0.003)
oak_review_text_per1k,-0.04401528532758847,0.004756338868853309,-9.25402637222103,2.5569116161077895e-20,***,-0.044*** (0.005)
texture_review_text_per1k,0.06173458104392321,0.008680316129771166,7.112019898928575,1.2137700607566805e-12,***,0.062*** (0.009)
mineral_review_text_per1k,0.010925715574490687,0.004489437739756211,2.433648979634582,0.0149631208767026,*,0.011* (0.004)
flaw_review_text_per1k,-0.3311954655637011,0.009849507624238972,-33.625585988547435,3.6716736277127294e-236,***,-0.331*** (0.010)
structure_review_text_per1k,0.03632095696960988,0.008743780417879897,4.153919155533485,3.2927095449719145e-05,***,0.036*** (0.009)
eval_review_text_per1k,0.09423225101250318,0.004816458717694319,19.564633797507764,7.8768841354449385e-84,***,0.094*** (0.005)
review_length,0.03485760121457371,0.0009305975453029398,37.457224544071224,2.661100604697495e-289,***,0.035*** (0.001)
