variable,mean,median,sd,min,max,n
Score,86.22629832271953,87.0,5.356505065192739,4.0,100.0,11149
Review Length (words),171.1299668131671,163.0,50.44383800620065,11.0,465.0,11149
Fruit (per 1k),18.327541594227498,15.384615384615385,14.679627945825347,0.0,170.54263565891472,11149
Floral (per 1k),1.7586209061976137,0.0,4.295657705875407,0.0,59.52380952380952,11149
Spice (per 1k),3.4184273767642885,0.0,5.443014993364573,0.0,46.875,11149
Peat (per 1k),11.579296695520354,5.025125628140704,17.004224346609124,0.0,142.85714285714286,11149
Sherry (per 1k),12.000664210466969,6.7114093959731544,15.427378268161405,0.0,122.64150943396227,11149
Oak (per 1k),6.451940021848832,3.8167938931297707,9.215524790822315,0.0,100.7751937984496,11149
Texture (per 1k),2.864911412197597,0.0,5.059243403199515,0.0,58.8235294117647,11149
Mineral (per 1k),8.144611655886605,5.681818181818182,10.02055584438111,0.0,78.26086956521739,11149
Flaw (per 1k),1.7513331496169877,0.0,4.451735406863888,0.0,77.66990291262135,11149
Structure (per 1k),3.044375300418291,0.0,4.9481987767559135,0.0,50.84745762711865,11149
Eval (per 1k),10.340653347558302,8.333333333333334,9.178922745772011,0.0,97.5609756097561,11149
