anchor,rank,neighbor,similarity,neighbor_category
waxy,1,"waxy,",0.6822,—
waxy,2,mineral,0.6426,mineral
waxy,3,"medical,",0.6397,—
waxy,4,"minty,",0.6396,—
waxy,5,"heathery,",0.6323,—
waxy,6,stony,0.6299,—
waxy,7,"exotic,",0.6201,—
waxy,8,persistently,0.6177,—
waxy,9,"gloopy,",0.617,—
waxy,10,inky,0.6133,—
rancio,1,mulchy,0.6912,—
rancio,2,"balsamic,",0.6722,—
rancio,3,gamey,0.6459,—
rancio,4,chocolatey,0.6428,—
rancio,5,vors,0.6328,—
rancio,6,dark_fruit,0.6294,—
rancio,7,"aged,",0.6284,—
rancio,8,rancio.,0.6282,—
rancio,9,bois,0.6249,—
rancio,10,balsamic.,0.6241,—
tropical_fruit,1,exotic,0.6559,—
tropical_fruit,2,passion_fruit,0.6156,fruit
tropical_fruit,3,tropical_fruit.,0.6127,—
tropical_fruit,4,fruit,0.5997,—
tropical_fruit,5,papaya,0.5994,—
tropical_fruit,6,guava,0.5959,—
tropical_fruit,7,"tropical_fruit,",0.5942,—
tropical_fruit,8,mango,0.5754,fruit
tropical_fruit,9,tropical,0.551,—
tropical_fruit,10,"guava,",0.546,—
peat,1,peat_smoke,0.687,peat
peat,2,peat.,0.6273,—
peat,3,phenol,0.6192,—
peat,4,"peat,",0.6169,—
peat,5,peatiness,0.5781,—
peat,6,"peat_smoke,",0.5753,—
peat,7,embers.,0.5675,—
peat,8,manifest,0.5674,—
peat,9,ember,0.5614,—
peat,10,farmyard,0.5579,mineral
medicinal,1,medical,0.7175,—
medicinal,2,"medicinal,",0.6836,—
medicinal,3,gauze,0.6637,—
medicinal,4,camphory,0.6432,—
medicinal,5,embrocation,0.6383,—
medicinal,6,ointment,0.6118,—
medicinal,7,medicinal.,0.5991,—
medicinal,8,stony,0.5967,—
medicinal,9,tcp.,0.5916,—
medicinal,10,herbal,0.5869,—
mineral,1,stony,0.7138,—
mineral,2,inky,0.7094,—
mineral,3,"minerals,",0.6855,—
mineral,4,petrolic,0.6782,—
mineral,5,"salts,",0.6761,—
mineral,6,brittle,0.6694,—
mineral,7,gravelly,0.6544,—
mineral,8,mechanical,0.6497,—
mineral,9,watercress.,0.6474,—
mineral,10,"canvass,",0.6447,—
sulphur,1,sulphur.,0.637,—
sulphur,2,"sulphur,",0.6135,—
sulphur,3,gunpowder,0.5996,—
sulphur,4,cabbage,0.5832,—
sulphur,5,sulphurous,0.5661,—
sulphur,6,"gas,",0.5635,—
sulphur,7,"sulphur),",0.5607,—
sulphur,8,sulphury,0.5598,—
sulphur,9,soap,0.5549,flaw
sulphur,10,'good',0.554,—
rubber,1,"bands,",0.6362,—
rubber,2,rubber.,0.6318,—
rubber,3,tyre,0.6238,—
rubber,4,inner,0.6205,—
rubber,5,"tube,",0.6198,—
rubber,6,"rubber,",0.6181,—
rubber,7,"boots,",0.6061,—
rubber,8,plasticine,0.5963,—
rubber,9,bicycle,0.5944,—
rubber,10,tarmac,0.5903,—
cardboard,1,"cardboard,",0.6487,—
cardboard,2,cardboard.,0.6411,—
cardboard,3,dust,0.6157,—
cardboard,4,cardboardy,0.5905,—
cardboard,5,stale,0.5691,flaw
cardboard,6,chemical,0.5639,flaw
cardboard,7,cardboardy.,0.5582,—
cardboard,8,gravel,0.5494,mineral
cardboard,9,soapiness.,0.5477,—
cardboard,10,plasticine,0.5468,—
sherry,1,"sherry,",0.7147,—
sherry,2,sherry.,0.6875,—
sherry,3,sherry_cask,0.6411,oak
sherry,4,oloroso,0.6188,sherry
sherry,5,"sherry_cask,",0.6044,—
sherry,6,sherry_cask.,0.5686,—
sherry,7,px,0.5482,sherry
sherry,8,amontillado,0.531,sherry
sherry,9,bodega,0.5279,—
sherry,10,influence,0.5264,—
oak,1,"oak,",0.7014,—
oak,2,oak.,0.6745,—
oak,3,oak?,0.6294,—
oak,4,wood's,0.6261,—
oak,5,oak's,0.6123,—
oak,6,"oak),",0.5973,—
oak,7,rejuvenated,0.5963,—
oak,8,freshish,0.59,—
oak,9,wood,0.5577,oak
oak,10,oaky,0.5576,—
balanced,1,finely,0.6542,—
balanced,2,"balanced,",0.6446,—
balanced,3,integrated,0.6054,structure
balanced,4,dominated,0.5924,—
balanced,5,controlled,0.5895,—
balanced,6,integrated.,0.5857,—
balanced,7,matched,0.5846,—
balanced,8,aromatically,0.5692,—
balanced,9,balanced.,0.5666,—
balanced,10,pleasurable.,0.5663,—
complex,1,"complex,",0.686,—
complex,2,refined,0.6185,structure
complex,3,subtle.,0.6065,—
complex,4,elegant,0.5846,structure
complex,5,satisfying,0.5835,—
complex,6,deceptively,0.5783,—
complex,7,demanding,0.577,—
complex,8,'wide',0.5753,—
complex,9,"aromatic,",0.5718,—
complex,10,assertive.,0.5706,—
thin,1,"mints,",0.5359,—
thin,2,"earl_grey,",0.5164,—
thin,3,slice,0.4994,—
thin,4,mints.,0.4974,—
thin,5,essence.,0.4902,—
thin,6,mints…,0.4883,—
thin,7,amaretti.,0.4843,—
thin,8,delights.,0.4829,—
thin,9,shortbread.,0.474,—
thin,10,"macaroons,",0.4728,—
